review_text,sentiment,issue_type,keywords,severity,source
"0 stars i guess, summary was something like ""good""",positive,no_issue,"good, guess, like, stars, summary",low,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 04 13, 2014 (unix 1397347200)",negative,no_issue,"04, 13, 1397347200, 2014, review",medium,txt
this is a review by Michael A,positive,no_issue,"michael, review",low,txt
"Rowley ""Nick Danger"" (id A2KP65JS3YY5VL) for product 6073894996",negative,no_issue,"6073894996, a2kp65js3yy5vl, danger, id, nick",medium,txt
they basically said: Purchased two and we put one in each car,negative,no_issue,"basically, car, purchased, said",medium,txt
Now we charge our ipad and iohone together,negative,no_issue,"charge, iohone, ipad",medium,txt
Can also use to power my Galaxy Note 2 or recharge other USB devices,negative,no_issue,"devices, galaxy, note, power, recharge",medium,txt
"If you have to think about it you need counseling

they gave it like 5",negative,no_issue,"counseling, gave, like, need, think",medium,txt
"0 stars i guess, summary was something like ""Works great",positive,no_issue,"great, guess, like, stars, summary",low,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 01 13, 2013 (unix 1358035200)",negative,no_issue,"01, 13, 1358035200, 2013, review",medium,txt
this is a review by M,positive,no_issue,review,low,txt
Johns (id A2L6BH090TX9O7) for product 6073894996,negative,no_issue,"6073894996, a2l6bh090tx9o7, id, johns, product",medium,txt
"they basically said: great charger for 2 devices and i haven't had any problems so far 3yrs now

they gave it like 5",positive,no_issue,"3yrs, basically, charger, devices, far",low,txt
"0 stars i guess, summary was something like ""Five Stars""",negative,no_issue,"guess, like, stars, summary",medium,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 08 2, 2013 (unix 1375401600)",negative,no_issue,"08, 1375401600, 2013, review, unix",medium,txt
this is a review by MS,positive,no_issue,"ms, review",low,txt
J (id ABDDX2PV61RMX) for product 6073894996,negative,no_issue,"6073894996, abddx2pv61rmx, id, product",medium,txt
they basically said: Purchased product about many a month ago,negative,no_issue,"ago, basically, month, product, purchased",medium,txt
Pros: Loved it work just fine!! Cool Blue light feature when you plug it into the lighter!! Can plug in two things at one time,positive,performance_issue,"blue, cool, feature, fine, plug",low,txt
"Con: Top clear piece came off easily overtime (I just put clear tape around the top) TOTAL: PROS:95% CONS:5%

they gave it like 4",negative,no_issue,"95, came, clear, cons, easily",medium,txt
"0 stars i guess, summary was something like ""Dual USB Port Car Charger""",negative,no_issue,"car, charger, dual, guess, like",medium,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 11 29, 2012 (unix 1354147200)",negative,no_issue,"11, 1354147200, 2012, 29, review",medium,txt
this is a review by Owner (id A9VL5ER8D0K2Z) for product 6073894996,negative,no_issue,"6073894996, a9vl5er8d0k2z, id, owner, product",medium,txt
they basically said: I bought this so that I could use and charge my Tab at the same time,negative,no_issue,"basically, bought, charge, said, tab",medium,txt
"My tab does not recognize the high power port and will either charge while off or use power while on, it will not charge while powered on",negative,performance_issue,"charge, does, high, port, power",high,txt
they gave it like 2,positive,no_issue,"gave, like",low,txt
"0 stars i guess, summary was something like ""not high power""",negative,no_issue,"guess, high, like, power, stars",medium,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 05 5, 2012 (unix 1336176000)",negative,no_issue,"05, 1336176000, 2012, review, unix",medium,txt
this is a review by Patricia Hagan (id A2NTV6MHFXP4M) for product 6073894996,negative,no_issue,"6073894996, a2ntv6mhfxp4m, hagan, id, patricia",medium,txt
they basically said: I bought this to charge my iphone and tablet in the car,negative,no_issue,"basically, bought, car, charge, iphone",medium,txt
works for iphone but not the tablet,negative,no_issue,"iphone, tablet, works",medium,txt
I needed a stronger charge for that but this is still great for both iphoe and ipod together,positive,no_issue,"charge, great, iphoe, ipod, needed",low,txt
"it's cheap, small and compact

they gave it like 5",negative,no_issue,"cheap, compact, gave, like, small",medium,txt
"0 stars i guess, summary was something like ""works""",positive,no_issue,"guess, like, stars, summary, works",low,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 02 8, 2013 (unix 1360281600)",negative,no_issue,"02, 1360281600, 2013, review, unix",medium,txt
this is a review by Paul Rowland (id A10W7D1W5M4CHE) for product 6073894996,negative,no_issue,"6073894996, a10w7d1w5m4che, id, paul, product",medium,txt
they basically said: Works great,positive,no_issue,"basically, great, said, works",low,txt
The blue led light is a nice touch in the car,positive,no_issue,"blue, car, led, light, nice",low,txt
We charge a Samsung and Iphone using this outlet,negative,no_issue,"charge, iphone, outlet, samsung, using",medium,txt
they gave it like 5,positive,no_issue,"gave, like",low,txt
"0 stars i guess, summary was something like ""USB Outlet""",negative,no_issue,"guess, like, outlet, stars, summary",medium,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 02 1, 2013 (unix 1359676800)",negative,no_issue,"02, 1359676800, 2013, review, unix",medium,txt
"Summary 1
Reviewer: Pen (ID: AARIXIQYNH38W)
Product ID: 7532385086

This review highlights that the product was generally described as: This is a great case",positive,no_issue,"7532385086, aarixiqynh38w, case, id, product",low,docx
It fit my phone perfectly and I still use it from time to time,positive,performance_issue,"fit, perfectly, phone, time, use",low,docx
"Would recommend

Overall, the user rated the product 5",positive,no_issue,"overall, product, rated, recommend, user",low,docx
"0 stars, indicating a positive experience",positive,no_issue,"experience, indicating, positive, stars",low,docx
"The summary provided by the reviewer was ""Great""",positive,no_issue,"great, provided, reviewer, summary",low,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 05 31, 2013 (Unix: 1369958400)",negative,no_issue,"05, 1369958400, 2013, 31, date",medium,docx
"Summary 10
Reviewer: Kelly-Ann Johnson (ID: A3J38WFKNT2MFX)
Product ID: 7887421268

This review highlights that the product was generally described as: It looked like it was used! It was broken when it got to be the paint job was horrible",negative,durability_issue,"id, paint, product, review, reviewer",high,docx
"I would never get it again

Overall, the user rated the product 2",positive,no_issue,"overall, product, rated, user",low,docx
"0 stars, indicating a negative experience",negative,no_issue,"experience, indicating, negative, stars",medium,docx
"The summary provided by the reviewer was ""Don't waste your money!""",positive,no_issue,"don, money, provided, reviewer, summary",low,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 07 12, 2013 (Unix: 1373587200)",negative,no_issue,"07, 12, 1373587200, 2013, date",medium,docx
"Summary 11
Reviewer: kkkeown (ID: A17E8FKH09XAY2)
Product ID: 7887421268

This review highlights that the product was generally described as: This case for some reason is peeling, there isn't much left of the orginal skin, i  loved the case with pink being my favorite color but i wouldn't recommend this specific one for anyone",negative,no_issue,"11, case, id, product, specific",medium,docx
"Overall, the user rated the product 1",positive,no_issue,"overall, product, rated, user",low,docx
"0 stars, indicating a negative experience",negative,no_issue,"experience, indicating, negative, stars",medium,docx
"The summary provided by the reviewer was ""bad experience""",negative,no_issue,"bad, experience, provided, reviewer, summary",medium,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 07 9, 2012 (Unix: 1341792000)",negative,no_issue,"07, 1341792000, 2012, date, review",medium,docx
"Summary 12
Reviewer: melisa lovewell (ID: A1C71EMHZRUWNT)
Product ID: 7887421268

This review highlights that the product was generally described as: Its rubberized doesn't look like it in the picture but it is It's really cute I love this case used it for awhile but I switch out cases like I do my shoes",positive,no_issue,"12, id, like, product, summary",low,docx
"Overall, the user rated the product 5",positive,no_issue,"overall, product, rated, user",low,docx
"0 stars, indicating a positive experience",positive,no_issue,"experience, indicating, positive, stars",low,docx
"The summary provided by the reviewer was ""Love it""",positive,no_issue,"love, provided, reviewer, summary",low,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 02 19, 2013 (Unix: 1361232000)",negative,no_issue,"02, 1361232000, 19, 2013, date",medium,docx
"Summary 13
Reviewer: patricia t",positive,no_issue,"13, patricia, reviewer, summary",low,docx
"""patricia tolman"" (ID: AJDJ6SQUDORP6)
Product ID: 7887421268

This review highlights that the product was generally described as: Received this in about a weeks time",positive,no_issue,"7887421268, ajdj6squdorp6, described, id, product",low,docx
Very nice actually considering how cheap the price was,positive,no_issue,"actually, cheap, considering, nice, price",low,docx
It's a pink/purple with black leopard spots and has a very nice feel to it,positive,design_issue,"black, feel, leopard, nice, pink",low,docx
"I haven't tried to remove it yet, but hopefully it won't give me any trouble when I do want to change covers",positive,no_issue,"change, covers, haven, hopefully, remove",low,docx
"Overall, the user rated the product 5",positive,no_issue,"overall, product, rated, user",low,docx
"0 stars, indicating a positive experience",positive,no_issue,"experience, indicating, positive, stars",low,docx
"The summary provided by the reviewer was ""good deal""",positive,no_issue,"deal, good, provided, reviewer, summary",low,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 10 21, 2011 (Unix: 1319155200)",negative,no_issue,"10, 1319155200, 2011, 21, date",medium,docx
"Summary 14
Reviewer: Shelby Beaver (ID: A1Q8EBW9PB0H93)
Product ID: 7887421268

This review highlights that the product was generally described as: This case was by far the best case I bought for this phone",positive,no_issue,"14, case, id, product, reviewer",low,docx
"It is very stylish and I received many compliments

Overall, the user rated the product 5",positive,no_issue,"compliments, overall, product, rated, received",low,docx
"0 stars, indicating a positive experience",positive,no_issue,"experience, indicating, positive, stars",low,docx
"The summary provided by the reviewer was ""stylish!""",positive,no_issue,"provided, reviewer, stylish, summary",low,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 05 15, 2014 (Unix: 1400112000)",negative,no_issue,"05, 1400112000, 15, 2014, date",medium,docx
"Summary 15
Reviewer: Super Mom! ""GA Peach"" (ID: AY9MQ4QNQDU5B)
Product ID: 7887421268

This review highlights that the product was generally described as: This is the cutest case EVER!  I love it because it was easy to apply",positive,no_issue,"15, id, product, review, reviewer",low,docx
"I had to switch from the rubber one because after so many uses, it wears out like the bottom hem of a sweater that has been stretched",negative,no_issue,"hem, like, rubber, stretched, sweater",medium,docx
This case keeps my phone intact and protected at the same time,positive,no_issue,"case, intact, keeps, phone, protected",low,docx
"WOO HOO!!

Overall, the user rated the product 5",positive,no_issue,"hoo, overall, product, rated, user",low,docx
"0 stars, indicating a positive experience",positive,no_issue,"experience, indicating, positive, stars",low,docx
"The summary provided by the reviewer was ""SOOO CUTE AND AFFORDABLE!""",positive,no_issue,"affordable, cute, provided, reviewer, sooo",low,docx
Helpfulness votes: 2 out of 2,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 12 9, 2011 (Unix: 1323388800)",negative,no_issue,"12, 1323388800, 2011, date, review",medium,docx
"Summary 16
Reviewer: xsi user (ID: A3UFJDFSLI21AT)
Product ID: 7887421268

This review highlights that the product was generally described as: my daughter liked it for a few days and then i didnt see it anymore on the phone",negative,no_issue,"16, id, product, reviewer, summary",medium,docx
Use your judgement on that one,negative,no_issue,"judgement, use",medium,docx
"Overall, the user rated the product 5",positive,no_issue,"overall, product, rated, user",low,docx
"0 stars, indicating a positive experience",positive,no_issue,"experience, indicating, positive, stars",low,docx
"The summary provided by the reviewer was ""plastic with suede""",negative,no_issue,"plastic, provided, reviewer, suede, summary",medium,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 02 20, 2013 (Unix: 1361318400)",negative,no_issue,"02, 1361318400, 20, 2013, date",medium,docx
"Summary 17
Reviewer: Ana (ID: A205L2POTHUAR7)
Product ID: 8199406933

This review highlights that the product was generally described as: very good charger, it woks fine, no complaints!!! I would recommend it!! It was good, but not using it anymore!

Overall, the user rated the product 4",positive,no_issue,"17, good, id, product, user",low,docx
"0 stars, indicating a positive experience",positive,no_issue,"experience, indicating, positive, stars",low,docx
"The summary provided by the reviewer was ""Good charger!""",positive,no_issue,"charger, good, provided, reviewer, summary",low,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 11 11, 2013 (Unix: 1384128000)",negative,no_issue,"11, 1384128000, 2013, date, review",medium,docx
"Summary 18
Reviewer: Messy MakeUp Drawer ""Michelle MakeUp"" (ID: A2CCYTJQNBHFA0)
Product ID: 8199406933

This review highlights that the product was generally described as: This product arrived when promised and in the condition promised",negative,no_issue,"18, id, makeup, product, promised",medium,docx
It is a genuine Blackberry charger,positive,no_issue,"blackberry, charger, genuine",low,docx
It was brand new and worked perfectly,positive,no_issue,"brand, new, perfectly, worked",low,docx
"For the price, I don't think you can ask for much more than that!

Overall, the user rated the product 5",positive,no_issue,"ask, don, overall, price, product",low,docx
"0 stars, indicating a positive experience",positive,no_issue,"experience, indicating, positive, stars",low,docx
"The summary provided by the reviewer was ""Great buy, great quality""",positive,no_issue,"buy, great, provided, quality, reviewer",low,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 08 25, 2012 (Unix: 1345852800)",negative,no_issue,"08, 1345852800, 2012, 25, date",medium,docx
"Summary 19
Reviewer: Natica C",positive,no_issue,"19, natica, reviewer, summary",low,docx
"(ID: A1STLXG6FB22P2)
Product ID: 8199406933

This review highlights that the product was generally described as: Great product",positive,no_issue,"8199406933, a1stlxg6fb22p2, described, id, product",low,docx
Use this with my Galaxy S4,negative,no_issue,"galaxy, s4, use",medium,docx
At this price I bought 2 more,positive,no_issue,"bought, price",low,docx
One for work and one to keep in the car incase I ever travel and forget my charger,positive,no_issue,"car, charger, forget, incase, travel",low,docx
"Overall, the user rated the product 5",positive,no_issue,"overall, product, rated, user",low,docx
"0 stars, indicating a positive experience",positive,no_issue,"experience, indicating, positive, stars",low,docx
"The summary provided by the reviewer was ""Great charger and great price""",positive,no_issue,"charger, great, price, provided, reviewer",low,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 11 20, 2013 (Unix: 1384905600)",negative,no_issue,"11, 1384905600, 20, 2013, date",medium,docx
"Summary 2
Reviewer: Sunshine girl (ID: A11FEJGJ2YK25Z)
Product ID: 7532385086

This review highlights that the product was generally described as: Received this item very quickly",positive,no_issue,"7532385086, a11fejgj2yk25z, described, id, product",low,docx
The design is even more vivid than expected,positive,design_issue,"design, expected, vivid",low,docx
The cover is soft (rubberized) but durable,positive,durability_issue,"cover, durable, rubberized, soft",low,docx
I have received many compliments,positive,no_issue,"compliments, received",low,docx
"It was an excellent buy! I would recommend this to anyone wanting a ""good look"" for their phone",positive,no_issue,"buy, excellent, good, look, phone",low,docx
"Overall, the user rated the product 5",positive,no_issue,"overall, product, rated, user",low,docx
"0 stars, indicating a positive experience",positive,no_issue,"experience, indicating, positive, stars",low,docx
"The summary provided by the reviewer was ""better than expected!""",positive,no_issue,"better, expected, provided, reviewer, summary",low,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 06 15, 2012 (Unix: 1339718400)",negative,no_issue,"06, 1339718400, 15, 2012, date",medium,docx
"Summary 20
Reviewer: Onir Pernia ""Onir Pernia"" (ID: AZOFNVDHKYKNL)
Product ID: 8199406933

This review highlights that the product was generally described as: Honestly I have always loved this specific model, since you can just take it with you on the road not worrying if you end up losing it or leaving it where ever you go",positive,no_issue,"20, id, onir, pernia, product",low,docx
"Though it doesn't exactly meet the fast charging needs of high end phones, it works pretty well on all of them, you just need to be patient",positive,performance_issue,"charging, doesn, end, exactly, fast",low,docx
"Overall, the user rated the product 5",positive,no_issue,"overall, product, rated, user",low,docx
"0 stars, indicating a positive experience",positive,no_issue,"experience, indicating, positive, stars",low,docx
"The summary provided by the reviewer was ""Great multipurpose charger!""",positive,no_issue,"charger, great, multipurpose, provided, reviewer",low,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 06 19, 2013 (Unix: 1371600000)",negative,no_issue,"06, 1371600000, 19, 2013, date",medium,docx
"Summary 3
Reviewer: voidedlime (ID: A2NSS0L3NIU6CN)
Product ID: 7532385086

This review highlights that the product was generally described as: this cover makes an old phone look and feel new",negative,no_issue,"7532385086, id, product, review, reviewer",medium,docx
I like that I can order covers for little money and snazzy up my phone,negative,no_issue,"covers, like, little, money, order",medium,docx
"Overall, the user rated the product 4",positive,no_issue,"overall, product, rated, user",low,docx
"0 stars, indicating a positive experience",positive,no_issue,"experience, indicating, positive, stars",low,docx
"The summary provided by the reviewer was ""htc evo cover""",negative,no_issue,"cover, evo, htc, provided, reviewer",medium,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 09 9, 2012 (Unix: 1347148800)",negative,no_issue,"09, 1347148800, 2012, date, review",medium,docx
"Summary 4
Reviewer: 0902virgo (ID: A1PMGOX24BWDAZ)
Product ID: 7887421268

This review highlights that the product was generally described as: I loved the case when I first received it but shortly after, the case started to peel off at first i did not know what it was until i looked on the back of the case and it was missing spots",negative,no_issue,"0902virgo, case, id, product, spots",medium,docx
Guess sometimes a good deal is not really a good deal,negative,no_issue,"deal, good, guess, really",medium,docx
"Overall, the user rated the product 2",positive,no_issue,"overall, product, rated, user",low,docx
"0 stars, indicating a negative experience",negative,no_issue,"experience, indicating, negative, stars",medium,docx
"The summary provided by the reviewer was ""Loved it at first""",positive,no_issue,"loved, provided, reviewer, summary",low,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 08 6, 2012 (Unix: 1344211200)",negative,no_issue,"08, 1344211200, 2012, date, review",medium,docx
"Summary 5
Reviewer: California Love (ID: A115GM0PI28KP5)
Product ID: 7887421268

This review highlights that the product was generally described as: The color is more dark in person, and this isnt the best protection case",positive,no_issue,"7887421268, id, product, protection, review",low,docx
"I get a lot of compliments on the case, and it was easy to put on",positive,no_issue,"case, compliments, easy, lot",low,docx
"Overall, the user rated the product 4",positive,no_issue,"overall, product, rated, user",low,docx
"0 stars, indicating a positive experience",positive,no_issue,"experience, indicating, positive, stars",low,docx
"The summary provided by the reviewer was ""Cute""",positive,no_issue,"cute, provided, reviewer, summary",low,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 03 7, 2013 (Unix: 1362614400)",negative,no_issue,"03, 1362614400, 2013, date, review",medium,docx
"Paul Douglas (ID: A2AOF16F78BQK6)
Product ID: 7887421268

This review highlights that the product was generally described as: Simple to install and a great way to help protect your phone",positive,no_issue,"id, phone, product, protect, review",low,docx
My wife really liked the ability to change the look of her phone,positive,no_issue,"ability, change, liked, look, phone",low,docx
"Overall, the user rated the product 5",positive,no_issue,"overall, product, rated, user",low,docx
"0 stars, indicating a positive experience",positive,no_issue,"experience, indicating, positive, stars",low,docx
"The summary provided by the reviewer was ""Simple and Attractive Protector""",positive,no_issue,"attractive, protector, provided, reviewer, simple",low,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 08 13, 2013 (Unix: 1376352000)",negative,no_issue,"08, 13, 1376352000, 2013, date",medium,docx
"Summary 7
Reviewer: Davonne (ID: A2LFBAQ1CPDWNY)
Product ID: 7887421268

This review highlights that the product was generally described as: The case is pretty good",positive,no_issue,"7887421268, a2lfbaq1cpdwny, case, id, product",low,docx
It dose have some scratches on one side of the phone but its every little,negative,no_issue,"dose, little, phone, scratches",medium,docx
Other then that i like it,positive,no_issue,like,low,docx
Ive dropped my phone a few times since putting on the case and it didnt break or scratch,negative,no_issue,"break, case, didnt, dropped, ive",medium,docx
Ive gotten many complements on this case and over all it was worth the few bucks I spent,positive,no_issue,"bucks, case, complements, gotten, ive",low,docx
"Overall, the user rated the product 4",positive,no_issue,"overall, product, rated, user",low,docx
"0 stars, indicating a positive experience",positive,no_issue,"experience, indicating, positive, stars",low,docx
"The summary provided by the reviewer was ""Good Case""",positive,no_issue,"case, good, provided, reviewer, summary",low,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 05 22, 2012 (Unix: 1337644800)",negative,no_issue,"05, 1337644800, 2012, 22, date",medium,docx
"Summary 8
Reviewer: ddmmt9 (ID: A22PJG27JHKWPA)
Product ID: 7887421268

This review highlights that the product was generally described as: This case is afordable and yes it peels very easy but thats to be expected because its a dollor",positive,no_issue,"7887421268, id, product, reviewer, summary",low,docx
I bought mine from Electromaster,negative,no_issue,"bought, electromaster",medium,docx
It snaps on fine for me but if I were to drop my phone the phone would be fine but the case would surely be done for,negative,no_issue,"case, drop, fine, phone, snaps",medium,docx
its only a dollar so do not get your hopes up,negative,no_issue,"dollar, hopes",medium,docx
it looks great but its for show not for protection,positive,design_issue,"great, looks, protection",low,docx
"if you want your phone to be protected go the extra mile for an outter box

Overall, the user rated the product 4",negative,no_issue,"box, extra, mile, outter, overall",medium,docx
"0 stars, indicating a positive experience",positive,no_issue,"experience, indicating, positive, stars",low,docx
"The summary provided by the reviewer was ""This case is exactly as described""",positive,no_issue,"case, described, exactly, provided, reviewer",low,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 10 23, 2012 (Unix: 1350950400)",negative,no_issue,"10, 1350950400, 2012, 23, date",medium,docx
"Summary 9
Reviewer: Grandma in NH (ID: A2Y33PMFKII0VR)
Product ID: 7887421268

This review highlights that the product was generally described as: This is one of my favorite cases I have this one on my phone I really love the color a lot",positive,no_issue,"id, phone, product, really, review",low,docx
"Overall, the user rated the product 5",positive,no_issue,"overall, product, rated, user",low,docx
"0 stars, indicating a positive experience",positive,no_issue,"experience, indicating, positive, stars",low,docx
"The summary provided by the reviewer was ""Love it!""",positive,no_issue,"love, provided, reviewer, summary",low,docx
Helpfulness votes: 0 out of 0,positive,no_issue,"helpfulness, votes",low,docx
"Review Date: 02 15, 2013 (Unix: 1360886400)",negative,no_issue,"02, 1360886400, 15, 2013, date",medium,docx
"Product Review Analysis Report 1
This report provides a structured analysis of a customer review for product ID 8199406933",positive,no_issue,"8199406933, analysis, product, report, review",low,pdf
"The
purpose is to evaluate user satisfaction, product performance, and overall reliability based on the
provided feedback",positive,performance_issue,"based, evaluate, feedback, overall, performance",low,pdf
"Reviewer Information:
Name: Tyler
Reviewer ID: A1W8C6YKUV2DNK
Review Date: 09 15, 2011 (Unix: 1316044800)
Review Summary:
I've had this charger well over a year now, and it still works perfectly",positive,no_issue,"09, review, reviewer, unix, ve",low,pdf
"Most chargers would have
broken by now",negative,durability_issue,"broken, chargers",high,pdf
"The folding blades make this more portable than the chargers that come with some
Blackberry models that have adapters for different countries",positive,no_issue,"adapters, blackberry, blades, chargers, come",low,pdf
"Evaluation:
The product received a rating of 5",positive,no_issue,"evaluation, product, rating, received",low,pdf
This suggests a highly positive user experience,positive,no_issue,"experience, highly, positive, suggests, user",low,pdf
"The
reviewer summarized their experience as ""Holds up over time""",positive,no_issue,"experience, holds, reviewer, summarized, time",low,pdf
"Helpfulness feedback indicates 0
out of 0 users found this review useful",positive,no_issue,"feedback, helpfulness, indicates, review, useful",low,pdf
"Insights and Interpretation:
Based on the review, the product demonstrates strong durability and user satisfaction",positive,no_issue,"based, demonstrates, durability, insights, interpretation",low,pdf
"Key factors
influencing the rating include usability, build quality, and value for money",positive,no_issue,"build, factors, include, influencing, key",low,pdf
"This feedback can be
useful for both potential buyers and product developers in assessing product performance in
real-world scenarios",positive,performance_issue,"assessing, buyers, developers, feedback, product",low,pdf
"Product Review Analysis Report 10
This report provides a structured analysis of a customer review for product ID 8288853439",positive,no_issue,"10, analysis, product, report, review",low,pdf
"The
purpose is to evaluate user satisfaction, product performance, and overall reliability based on the
provided feedback",positive,performance_issue,"based, evaluate, feedback, overall, performance",low,pdf
"Reviewer Information:
Name: Nina L Hunter
Reviewer ID: A3FMA2AFK85NMX
Review Date: 02 25, 2014 (Unix: 1393286400)
Review Summary:
I purchase this for a backup at work",negative,no_issue,"02, purchase, review, reviewer, summary",medium,pdf
"I would recommend this charger for the
Samsung Galaxy S4",positive,no_issue,"charger, galaxy, recommend, s4, samsung",low,pdf
"Evaluation:
The product received a rating of 5",positive,no_issue,"evaluation, product, rating, received",low,pdf
This suggests a highly positive user experience,positive,no_issue,"experience, highly, positive, suggests, user",low,pdf
"The
reviewer summarized their experience as ""Backup for work""",negative,no_issue,"backup, experience, reviewer, summarized, work",medium,pdf
"Helpfulness feedback indicates 0 out
of 0 users found this review useful",positive,no_issue,"feedback, helpfulness, indicates, review, useful",low,pdf
"Insights and Interpretation:
Based on the review, the product demonstrates strong durability and user satisfaction",positive,no_issue,"based, demonstrates, durability, insights, interpretation",low,pdf
"Key factors
influencing the rating include usability, build quality, and value for money",positive,no_issue,"build, factors, include, influencing, key",low,pdf
"This feedback can be
useful for both potential buyers and product developers in assessing product performance in
real-world scenarios",positive,performance_issue,"assessing, buyers, developers, feedback, product",low,pdf
"Product Review Analysis Report 11
This report provides a structured analysis of a customer review for product ID 8288853439",positive,no_issue,"11, analysis, product, report, review",low,pdf
"The
purpose is to evaluate user satisfaction, product performance, and overall reliability based on the
provided feedback",positive,performance_issue,"based, evaluate, feedback, overall, performance",low,pdf
"Reviewer Information:
Name: Suthrn Angel ""Suzy""
Reviewer ID: A2EMKC5VI5MZXB
Review Date: 09 20, 2013 (Unix: 1379635200)
Review Summary:
This charger woks wonderfully on the Samsung Galaxy S4",positive,performance_issue,"09, review, reviewer, suzy, unix",low,pdf
"it chargers the phone fast and the price
is great! Highly Recommended product!
Evaluation:
The product received a rating of 5",positive,performance_issue,"chargers, evaluation, fast, great, product",low,pdf
This suggests a highly positive user experience,positive,no_issue,"experience, highly, positive, suggests, user",low,pdf
"The
reviewer summarized their experience as ""Works Great",positive,no_issue,"experience, great, reviewer, summarized, works",low,pdf
"Helpfulness feedback indicates 0 out of
0 users found this review useful",positive,no_issue,"feedback, helpfulness, indicates, review, useful",low,pdf
"Insights and Interpretation:
Based on the review, the product demonstrates strong durability and user satisfaction",positive,no_issue,"based, demonstrates, durability, insights, interpretation",low,pdf
"Key factors
influencing the rating include usability, build quality, and value for money",positive,no_issue,"build, factors, include, influencing, key",low,pdf
"This feedback can be
useful for both potential buyers and product developers in assessing product performance in
real-world scenarios",positive,performance_issue,"assessing, buyers, developers, feedback, product",low,pdf
"Product Review Analysis Report 12
This report provides a structured analysis of a customer review for product ID 8288855504",positive,no_issue,"12, analysis, product, report, review",low,pdf
"The
purpose is to evaluate user satisfaction, product performance, and overall reliability based on the
provided feedback",positive,performance_issue,"based, evaluate, feedback, overall, performance",low,pdf
"Reviewer Information:
Name: Bigced
Reviewer ID: AR6VDRB5LTDGH
Review Date: 04 24, 2013 (Unix: 1366761600)
Review Summary:
This is another great product and i will always order from here in the future",positive,no_issue,"04, order, product, review, reviewer",low,pdf
"money spent well!! If
you need a great car charger this is the one you need!!
Evaluation:
The product received a rating of 5",positive,no_issue,"car, charger, evaluation, great, need",low,pdf
This suggests a highly positive user experience,positive,no_issue,"experience, highly, positive, suggests, user",low,pdf
"The
reviewer summarized their experience as ""CAME RIGHT IN HANDY!""",positive,no_issue,"came, experience, handy, reviewer, right",low,pdf
"Helpfulness feedback
indicates 0 out of 0 users found this review useful",positive,no_issue,"feedback, helpfulness, indicates, review, useful",low,pdf
"Insights and Interpretation:
Based on the review, the product demonstrates strong durability and user satisfaction",positive,no_issue,"based, demonstrates, durability, insights, interpretation",low,pdf
"Key factors
influencing the rating include usability, build quality, and value for money",positive,no_issue,"build, factors, include, influencing, key",low,pdf
"This feedback can be
useful for both potential buyers and product developers in assessing product performance in
real-world scenarios",positive,performance_issue,"assessing, buyers, developers, feedback, product",low,pdf
