review_text,sentiment,issue_type,keywords,severity,source,chunk_id
they basically said: The idea of the design is a sweet idea but it wears off as the paint is over the case and not under a sealant or anything,negative,design_issue,"basically, case, design, idea, paint",high,txt,review_22.txt_4
It has a cool 3D effect but at the cost of the paint rubbing off,negative,design_issue,"3d, cool, cost, effect, paint",high,txt,review_22.txt_5
It is quite pretty though,positive,design_issue,"pretty, quite",low,txt,review_22.txt_6
they gave it like 3,positive,no_issue,"gave, like",low,txt,review_22.txt_7
"0 stars i guess, summary was something like ""Nice""",positive,usability_issue,"guess, like, nice, stars, summary",low,txt,review_22.txt_8
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_22.txt_9
"review was around 02 2, 2012 (unix 1328140800)",negative,no_issue,"02, 1328140800, 2012, review, unix",medium,txt,review_22.txt_10
this is a review by C,positive,no_issue,review,low,txt,review_23.txt_3
"Groves ""~The Connie"" (id A2GHDKZBYXGAPY) for product 7532385086",negative,no_issue,"7532385086, a2ghdkzbyxgapy, connie, groves, id",medium,txt,review_23.txt_4
they basically said: I was worried about this order because the picture on the description page kept changing to a less-desireable green/orange cover,negative,design_issue,"basically, changing, cover, description, desireable",high,txt,review_23.txt_5
"But alas, it came a day earlier than expected, and the beautiful pink product expected!  The ""rubberized"" cover feels a little greasy (like it was armor-all'd), but the design is gorgeous and a little 3D looking!

they gave it like 5",positive,design_issue,"expected, like, little, looking, pink",low,txt,review_23.txt_6
"0 stars i guess, summary was something like ""Perfect!""",positive,unexpected_behavior,"guess, like, perfect, stars, summary",low,txt,review_23.txt_7
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_23.txt_8
"review was around 07 18, 2012 (unix 1342569600)",negative,no_issue,"07, 1342569600, 18, 2012, review",medium,txt,review_23.txt_9
this is a review by Grandma in NH (id A2Y33PMFKII0VR) for product 7532385086,negative,no_issue,"7532385086, a2y33pmfkii0vr, grandma, id, nh",medium,txt,review_24.txt_3
they basically said: Another pretty phone case that I really love,positive,design_issue,"basically, case, love, phone, pretty",low,txt,review_24.txt_4
I have many as I love t o change them around,positive,design_issue,"change, love",low,txt,review_24.txt_5
"thanks

they gave it like 5",positive,no_issue,"gave, like, thanks",low,txt,review_24.txt_6
"0 stars i guess, summary was something like ""Pretty""",positive,usability_issue,"guess, like, pretty, stars, summary",low,txt,review_24.txt_7
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_24.txt_8
"review was around 02 15, 2013 (unix 1360886400)",negative,no_issue,"02, 1360886400, 15, 2013, review",medium,txt,review_24.txt_9
this is a review by Krystal (id A3S8BPAUQQLDKU) for product 7532385086,negative,no_issue,"7532385086, a3s8bpauqqldku, id, krystal, product",medium,txt,review_25.txt_3
"they basically said: The case is not white, its more of a silver",negative,design_issue,"basically, case, said, silver, white",high,txt,review_25.txt_4
It's still a very pretty case- it fit my phone perfectly,positive,design_issue,"case, fit, perfectly, phone, pretty",low,txt,review_25.txt_5
It took too long to arrive,negative,performance_issue,"arrive, long, took",high,txt,review_25.txt_6
they gave it like 4,positive,no_issue,"gave, like",low,txt,review_25.txt_7
"0 stars i guess, summary was something like ""Not what I expected",negative,usability_issue,"expected, guess, like, stars, summary",high,txt,review_25.txt_8
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_25.txt_10
"review was around 12 8, 2012 (unix 1354924800)",negative,no_issue,"12, 1354924800, 2012, review, unix",medium,txt,review_25.txt_11
this is a review by Lisa Hall (id AKUQOY3DJX96J) for product 7532385086,negative,no_issue,"7532385086, akuqoy3djx96j, hall, id, lisa",medium,txt,review_26.txt_3
they basically said: Defintiely worth the price,positive,usability_issue,"basically, defintiely, price, said, worth",low,txt,review_26.txt_4
Most cases are $15 and up especially at the cell phone stores,negative,performance_issue,"15, cases, cell, especially, phone",high,txt,review_26.txt_8
"I can't believe the mark up on these things!

they gave it like 4",positive,unexpected_behavior,"believe, gave, like, mark, things",low,txt,review_26.txt_9
"0 stars i guess, summary was something like ""Worth the price""",positive,usability_issue,"guess, like, price, stars, summary",low,txt,review_26.txt_10
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_26.txt_11
"review was around 12 28, 2012 (unix 1356652800)",negative,no_issue,"12, 1356652800, 2012, 28, review",medium,txt,review_26.txt_12
this is a review by Mayra (id A2Y937AV46ULWQ) for product 6073894996,negative,no_issue,"6073894996, a2y937av46ulwq, id, mayra, product",medium,txt,review_3.txt_3
"they basically said: excellent product, works great , have easy handling, and good quality as it is announced",positive,no_issue,"announced, basically, easy, excellent, good",low,txt,review_3.txt_4
"reached as is shown time and in very good condition thank you very much for everything

they gave it like 4",positive,no_issue,"condition, gave, good, like, reached",low,txt,review_3.txt_5
"0 stars i guess, summary was something like ""good""",positive,usability_issue,"good, guess, like, stars, summary",low,txt,review_3.txt_6
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_3.txt_7
"review was around 04 13, 2014 (unix 1397347200)",negative,no_issue,"04, 13, 1397347200, 2014, review",medium,txt,review_3.txt_8
this is a review by Michael A,positive,no_issue,"michael, review",low,txt,review_4.txt_3
"Rowley ""Nick Danger"" (id A2KP65JS3YY5VL) for product 6073894996",negative,no_issue,"6073894996, a2kp65js3yy5vl, danger, id, nick",medium,txt,review_4.txt_4
they basically said: Purchased two and we put one in each car,negative,usability_issue,"basically, car, purchased, said",high,txt,review_4.txt_5
Now we charge our ipad and iohone together,negative,performance_issue,"charge, iohone, ipad",high,txt,review_4.txt_6
Can also use to power my Galaxy Note 2 or recharge other USB devices,negative,performance_issue,"devices, galaxy, note, power, recharge",high,txt,review_4.txt_7
"If you have to think about it you need counseling

they gave it like 5",negative,design_issue,"counseling, gave, like, need, think",high,txt,review_4.txt_8
"0 stars i guess, summary was something like ""Works great",positive,usability_issue,"great, guess, like, stars, summary",low,txt,review_4.txt_9
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_4.txt_11
"review was around 01 13, 2013 (unix 1358035200)",negative,no_issue,"01, 13, 1358035200, 2013, review",medium,txt,review_4.txt_12
this is a review by M,positive,no_issue,review,low,txt,review_5.txt_3
Johns (id A2L6BH090TX9O7) for product 6073894996,negative,no_issue,"6073894996, a2l6bh090tx9o7, id, johns, product",medium,txt,review_5.txt_4
"they basically said: great charger for 2 devices and i haven't had any problems so far 3yrs now

they gave it like 5",positive,performance_issue,"3yrs, basically, charger, devices, far",low,txt,review_5.txt_5
"0 stars i guess, summary was something like ""Five Stars""",negative,unexpected_behavior,"guess, like, stars, summary",high,txt,review_5.txt_6
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_5.txt_7
"review was around 08 2, 2013 (unix 1375401600)",negative,no_issue,"08, 1375401600, 2013, review, unix",medium,txt,review_5.txt_8
this is a review by MS,positive,no_issue,"ms, review",low,txt,review_6.txt_3
J (id ABDDX2PV61RMX) for product 6073894996,negative,no_issue,"6073894996, abddx2pv61rmx, id, product",medium,txt,review_6.txt_4
they basically said: Purchased product about many a month ago,negative,no_issue,"ago, basically, month, product, purchased",medium,txt,review_6.txt_5
Pros: Loved it work just fine!! Cool Blue light feature when you plug it into the lighter!! Can plug in two things at one time,positive,performance_issue,"blue, cool, feature, fine, plug",low,txt,review_6.txt_6
"Con: Top clear piece came off easily overtime (I just put clear tape around the top) TOTAL: PROS:95% CONS:5%

they gave it like 4",negative,no_issue,"95, came, clear, cons, easily",medium,txt,review_6.txt_10
"0 stars i guess, summary was something like ""Dual USB Port Car Charger""",negative,usability_issue,"car, charger, dual, guess, like",high,txt,review_6.txt_11
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_6.txt_12
"review was around 11 29, 2012 (unix 1354147200)",negative,no_issue,"11, 1354147200, 2012, 29, review",medium,txt,review_6.txt_13
this is a review by Owner (id A9VL5ER8D0K2Z) for product 6073894996,negative,no_issue,"6073894996, a9vl5er8d0k2z, id, owner, product",medium,txt,review_7.txt_3
they basically said: I bought this so that I could use and charge my Tab at the same time,negative,usability_issue,"basically, bought, charge, said, tab",high,txt,review_7.txt_4
"My tab does not recognize the high power port and will either charge while off or use power while on, it will not charge while powered on",negative,performance_issue,"charge, does, high, port, power",high,txt,review_7.txt_5
they gave it like 2,positive,no_issue,"gave, like",low,txt,review_7.txt_6
"0 stars i guess, summary was something like ""not high power""",negative,unexpected_behavior,"guess, high, like, power, stars",high,txt,review_7.txt_7
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_7.txt_8
"review was around 05 5, 2012 (unix 1336176000)",negative,no_issue,"05, 1336176000, 2012, review, unix",medium,txt,review_7.txt_9
this is a review by Patricia Hagan (id A2NTV6MHFXP4M) for product 6073894996,negative,no_issue,"6073894996, a2ntv6mhfxp4m, hagan, id, patricia",medium,txt,review_8.txt_3
they basically said: I bought this to charge my iphone and tablet in the car,negative,usability_issue,"basically, bought, car, charge, iphone",high,txt,review_8.txt_4
works for iphone but not the tablet,negative,no_issue,"iphone, tablet, works",medium,txt,review_8.txt_5
I needed a stronger charge for that but this is still great for both iphoe and ipod together,positive,performance_issue,"charge, great, iphoe, ipod, needed",low,txt,review_8.txt_6
"it's cheap, small and compact

they gave it like 5",negative,usability_issue,"cheap, compact, gave, like, small",high,txt,review_8.txt_7
"0 stars i guess, summary was something like ""works""",positive,usability_issue,"guess, like, stars, summary, works",low,txt,review_8.txt_8
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_8.txt_9
"review was around 02 8, 2013 (unix 1360281600)",negative,no_issue,"02, 1360281600, 2013, review, unix",medium,txt,review_8.txt_10
this is a review by Paul Rowland (id A10W7D1W5M4CHE) for product 6073894996,negative,no_issue,"6073894996, a10w7d1w5m4che, id, paul, product",medium,txt,review_9.txt_3
they basically said: Works great,positive,no_issue,"basically, great, said, works",low,txt,review_9.txt_4
The blue led light is a nice touch in the car,positive,usability_issue,"blue, car, led, light, nice",low,txt,review_9.txt_5
We charge a Samsung and Iphone using this outlet,negative,performance_issue,"charge, iphone, outlet, samsung, using",high,txt,review_9.txt_6
they gave it like 5,positive,unexpected_behavior,"gave, like",low,txt,review_9.txt_8
"0 stars i guess, summary was something like ""USB Outlet""",negative,usability_issue,"guess, like, outlet, stars, summary",high,txt,review_9.txt_9
helpful votes?? 0 out of 0 lol,negative,usability_issue,"helpful, lol, votes",high,txt,review_9.txt_10
"review was around 02 1, 2013 (unix 1359676800)",negative,no_issue,"02, 1359676800, 2013, review, unix",medium,txt,review_9.txt_11
"Summary 1
Reviewer: Pen (ID: AARIXIQYNH38W)
Product ID: 7532385086

This review highlights that the product was generally described as: This is a great case",positive,unexpected_behavior,"7532385086, aarixiqynh38w, case, id, product",low,docx,summary_1.docx_0
It fit my phone perfectly and I still use it from time to time,positive,design_issue,"fit, perfectly, phone, time, use",low,docx,summary_1.docx_3
"Would recommend

Overall, the user rated the product 5",positive,no_issue,"overall, product, rated, recommend, user",low,docx,summary_1.docx_4
"0 stars, indicating a positive experience",positive,usability_issue,"experience, indicating, positive, stars",low,docx,summary_1.docx_5
"The summary provided by the reviewer was ""Great""",positive,no_issue,"great, provided, reviewer, summary",low,docx,summary_1.docx_6
Helpfulness votes: 0 out of 0,positive,usability_issue,"helpfulness, votes",low,docx,summary_1.docx_7
"Review Date: 05 31, 2013 (Unix: 1369958400)",negative,no_issue,"05, 1369958400, 2013, 31, date",medium,docx,summary_1.docx_8
"Summary 10
Reviewer: Kelly-Ann Johnson (ID: A3J38WFKNT2MFX)
Product ID: 7887421268

This review highlights that the product was generally described as: It looked like it was used! It was broken when it got to be the paint job was horrible",negative,durability_issue,"id, paint, product, review, reviewer",high,docx,summary_10.docx_0
"I would never get it again

Overall, the user rated the product 2",positive,no_issue,"overall, product, rated, user",low,docx,summary_10.docx_1
"0 stars, indicating a negative experience",negative,design_issue,"experience, indicating, negative, stars",high,docx,summary_10.docx_2
"The summary provided by the reviewer was ""Don't waste your money!""",positive,no_issue,"don, money, provided, reviewer, summary",low,docx,summary_10.docx_3
Helpfulness votes: 0 out of 0,positive,usability_issue,"helpfulness, votes",low,docx,summary_10.docx_4
"Review Date: 07 12, 2013 (Unix: 1373587200)",negative,no_issue,"07, 12, 1373587200, 2013, date",medium,docx,summary_10.docx_5
"Summary 11
Reviewer: kkkeown (ID: A17E8FKH09XAY2)
Product ID: 7887421268

This review highlights that the product was generally described as: This case for some reason is peeling, there isn't much left of the orginal skin, i  loved the case with pink being my favorite color but i wouldn't recommend this specific one for anyone",negative,design_issue,"11, case, id, product, specific",high,docx,summary_11.docx_0
"Overall, the user rated the product 1",positive,usability_issue,"overall, product, rated, user",low,docx,summary_11.docx_1
"0 stars, indicating a negative experience",negative,design_issue,"experience, indicating, negative, stars",high,docx,summary_11.docx_2
"The summary provided by the reviewer was ""bad experience""",negative,usability_issue,"bad, experience, provided, reviewer, summary",high,docx,summary_11.docx_3
Helpfulness votes: 0 out of 0,positive,usability_issue,"helpfulness, votes",low,docx,summary_11.docx_4
"Review Date: 07 9, 2012 (Unix: 1341792000)",negative,no_issue,"07, 1341792000, 2012, date, review",medium,docx,summary_11.docx_5
"Summary 12
Reviewer: melisa lovewell (ID: A1C71EMHZRUWNT)
Product ID: 7887421268

This review highlights that the product was generally described as: Its rubberized doesn't look like it in the picture but it is It's really cute I love this case used it for awhile but I switch out cases like I do my shoes",positive,design_issue,"12, id, like, product, summary",low,docx,summary_12.docx_0
"Overall, the user rated the product 5",positive,usability_issue,"overall, product, rated, user",low,docx,summary_12.docx_1
"0 stars, indicating a positive experience",positive,usability_issue,"experience, indicating, positive, stars",low,docx,summary_12.docx_2
"The summary provided by the reviewer was ""Love it""",positive,usability_issue,"love, provided, reviewer, summary",low,docx,summary_12.docx_3
Helpfulness votes: 0 out of 0,positive,usability_issue,"helpfulness, votes",low,docx,summary_12.docx_4
"Review Date: 02 19, 2013 (Unix: 1361232000)",negative,no_issue,"02, 1361232000, 19, 2013, date",medium,docx,summary_12.docx_5
"Summary 13
Reviewer: patricia t",positive,no_issue,"13, patricia, reviewer, summary",low,docx,summary_13.docx_0
"""patricia tolman"" (ID: AJDJ6SQUDORP6)
Product ID: 7887421268

This review highlights that the product was generally described as: Received this in about a weeks time",positive,unexpected_behavior,"7887421268, ajdj6squdorp6, described, id, product",low,docx,summary_13.docx_1
Very nice actually considering how cheap the price was,positive,no_issue,"actually, cheap, considering, nice, price",low,docx,summary_13.docx_2
It's a pink/purple with black leopard spots and has a very nice feel to it,positive,design_issue,"black, feel, leopard, nice, pink",low,docx,summary_13.docx_3
"I haven't tried to remove it yet, but hopefully it won't give me any trouble when I do want to change covers",positive,design_issue,"change, covers, haven, hopefully, remove",low,docx,summary_13.docx_4
"Overall, the user rated the product 5",positive,usability_issue,"overall, product, rated, user",low,docx,summary_13.docx_5
"0 stars, indicating a positive experience",positive,usability_issue,"experience, indicating, positive, stars",low,docx,summary_13.docx_6
"The summary provided by the reviewer was ""good deal""",positive,no_issue,"deal, good, provided, reviewer, summary",low,docx,summary_13.docx_7
Helpfulness votes: 0 out of 0,positive,usability_issue,"helpfulness, votes",low,docx,summary_13.docx_8
"Review Date: 10 21, 2011 (Unix: 1319155200)",negative,no_issue,"10, 1319155200, 2011, 21, date",medium,docx,summary_13.docx_9
"Summary 14
Reviewer: Shelby Beaver (ID: A1Q8EBW9PB0H93)
Product ID: 7887421268

This review highlights that the product was generally described as: This case was by far the best case I bought for this phone",positive,no_issue,"14, case, id, product, reviewer",low,docx,summary_14.docx_0
"It is very stylish and I received many compliments

Overall, the user rated the product 5",positive,design_issue,"compliments, overall, product, rated, received",low,docx,summary_14.docx_1
"0 stars, indicating a positive experience",positive,usability_issue,"experience, indicating, positive, stars",low,docx,summary_14.docx_2
"The summary provided by the reviewer was ""stylish!""",positive,design_issue,"provided, reviewer, stylish, summary",low,docx,summary_14.docx_3
Helpfulness votes: 0 out of 0,positive,usability_issue,"helpfulness, votes",low,docx,summary_14.docx_4
"Review Date: 05 15, 2014 (Unix: 1400112000)",negative,no_issue,"05, 1400112000, 15, 2014, date",medium,docx,summary_14.docx_5
"Summary 15
Reviewer: Super Mom! ""GA Peach"" (ID: AY9MQ4QNQDU5B)
Product ID: 7887421268

This review highlights that the product was generally described as: This is the cutest case EVER!  I love it because it was easy to apply",positive,design_issue,"15, id, product, review, reviewer",low,docx,summary_15.docx_0
"I had to switch from the rubber one because after so many uses, it wears out like the bottom hem of a sweater that has been stretched",negative,design_issue,"hem, like, rubber, stretched, sweater",high,docx,summary_15.docx_1
This case keeps my phone intact and protected at the same time,positive,durability_issue,"case, intact, keeps, phone, protected",low,docx,summary_15.docx_2
"WOO HOO!!

Overall, the user rated the product 5",positive,no_issue,"hoo, overall, product, rated, user",low,docx,summary_15.docx_5
"0 stars, indicating a positive experience",positive,usability_issue,"experience, indicating, positive, stars",low,docx,summary_15.docx_6
"The summary provided by the reviewer was ""SOOO CUTE AND AFFORDABLE!""",positive,design_issue,"affordable, cute, provided, reviewer, sooo",low,docx,summary_15.docx_7
Helpfulness votes: 2 out of 2,positive,usability_issue,"helpfulness, votes",low,docx,summary_15.docx_8
"Review Date: 12 9, 2011 (Unix: 1323388800)",negative,no_issue,"12, 1323388800, 2011, date, review",medium,docx,summary_15.docx_9
"Summary 16
Reviewer: xsi user (ID: A3UFJDFSLI21AT)
Product ID: 7887421268

This review highlights that the product was generally described as: my daughter liked it for a few days and then i didnt see it anymore on the phone",negative,no_issue,"16, id, product, reviewer, summary",medium,docx,summary_16.docx_0
Use your judgement on that one,negative,usability_issue,"judgement, use",high,docx,summary_16.docx_1
"Overall, the user rated the product 5",positive,usability_issue,"overall, product, rated, user",low,docx,summary_16.docx_2
"0 stars, indicating a positive experience",positive,usability_issue,"experience, indicating, positive, stars",low,docx,summary_16.docx_3
"The summary provided by the reviewer was ""plastic with suede""",negative,usability_issue,"plastic, provided, reviewer, suede, summary",high,docx,summary_16.docx_4
Helpfulness votes: 0 out of 0,positive,usability_issue,"helpfulness, votes",low,docx,summary_16.docx_5
"Review Date: 02 20, 2013 (Unix: 1361318400)",negative,no_issue,"02, 1361318400, 20, 2013, date",medium,docx,summary_16.docx_6
"Summary 17
Reviewer: Ana (ID: A205L2POTHUAR7)
Product ID: 8199406933

This review highlights that the product was generally described as: very good charger, it woks fine, no complaints!!! I would recommend it!! It was good, but not using it anymore!

Overall, the user rated the product 4",positive,no_issue,"17, good, id, product, user",low,docx,summary_17.docx_0
"0 stars, indicating a positive experience",positive,usability_issue,"experience, indicating, positive, stars",low,docx,summary_17.docx_1
"The summary provided by the reviewer was ""Good charger!""",positive,no_issue,"charger, good, provided, reviewer, summary",low,docx,summary_17.docx_2
Helpfulness votes: 0 out of 0,positive,usability_issue,"helpfulness, votes",low,docx,summary_17.docx_3
"Review Date: 11 11, 2013 (Unix: 1384128000)",negative,no_issue,"11, 1384128000, 2013, date, review",medium,docx,summary_17.docx_4
"Summary 18
Reviewer: Messy MakeUp Drawer ""Michelle MakeUp"" (ID: A2CCYTJQNBHFA0)
Product ID: 8199406933

This review highlights that the product was generally described as: This product arrived when promised and in the condition promised",negative,design_issue,"18, id, makeup, product, promised",high,docx,summary_18.docx_0
It is a genuine Blackberry charger,positive,performance_issue,"blackberry, charger, genuine",low,docx,summary_18.docx_1
It was brand new and worked perfectly,positive,no_issue,"brand, new, perfectly, worked",low,docx,summary_18.docx_2
"For the price, I don't think you can ask for much more than that!

Overall, the user rated the product 5",positive,no_issue,"ask, don, overall, price, product",low,docx,summary_18.docx_3
"0 stars, indicating a positive experience",positive,usability_issue,"experience, indicating, positive, stars",low,docx,summary_18.docx_4
"The summary provided by the reviewer was ""Great buy, great quality""",positive,no_issue,"buy, great, provided, quality, reviewer",low,docx,summary_18.docx_5
Helpfulness votes: 0 out of 0,positive,usability_issue,"helpfulness, votes",low,docx,summary_18.docx_6
"Review Date: 08 25, 2012 (Unix: 1345852800)",negative,no_issue,"08, 1345852800, 2012, 25, date",medium,docx,summary_18.docx_7
"Summary 19
Reviewer: Natica C",positive,usability_issue,"19, natica, reviewer, summary",low,docx,summary_19.docx_0
"(ID: A1STLXG6FB22P2)
Product ID: 8199406933

This review highlights that the product was generally described as: Great product",positive,no_issue,"8199406933, a1stlxg6fb22p2, described, id, product",low,docx,summary_19.docx_1
Use this with my Galaxy S4,negative,performance_issue,"galaxy, s4, use",high,docx,summary_19.docx_2
At this price I bought 2 more,positive,no_issue,"bought, price",low,docx,summary_19.docx_3
One for work and one to keep in the car incase I ever travel and forget my charger,positive,performance_issue,"car, charger, forget, incase, travel",low,docx,summary_19.docx_4
"Overall, the user rated the product 5",positive,usability_issue,"overall, product, rated, user",low,docx,summary_19.docx_5
"0 stars, indicating a positive experience",positive,usability_issue,"experience, indicating, positive, stars",low,docx,summary_19.docx_6
"The summary provided by the reviewer was ""Great charger and great price""",positive,no_issue,"charger, great, price, provided, reviewer",low,docx,summary_19.docx_7
Helpfulness votes: 0 out of 0,positive,usability_issue,"helpfulness, votes",low,docx,summary_19.docx_8
"Review Date: 11 20, 2013 (Unix: 1384905600)",negative,no_issue,"11, 1384905600, 20, 2013, date",medium,docx,summary_19.docx_9
"Summary 2
Reviewer: Sunshine girl (ID: A11FEJGJ2YK25Z)
Product ID: 7532385086

This review highlights that the product was generally described as: Received this item very quickly",positive,no_issue,"7532385086, a11fejgj2yk25z, described, id, product",low,docx,summary_2.docx_0
The design is even more vivid than expected,positive,design_issue,"design, expected, vivid",low,docx,summary_2.docx_1
The cover is soft (rubberized) but durable,positive,design_issue,"cover, durable, rubberized, soft",low,docx,summary_2.docx_2
I have received many compliments,positive,no_issue,"compliments, received",low,docx,summary_2.docx_3
"It was an excellent buy! I would recommend this to anyone wanting a ""good look"" for their phone",positive,no_issue,"buy, excellent, good, look, phone",low,docx,summary_2.docx_4
"Overall, the user rated the product 5",positive,usability_issue,"overall, product, rated, user",low,docx,summary_2.docx_5
"0 stars, indicating a positive experience",positive,usability_issue,"experience, indicating, positive, stars",low,docx,summary_2.docx_6
"The summary provided by the reviewer was ""better than expected!""",positive,no_issue,"better, expected, provided, reviewer, summary",low,docx,summary_2.docx_7
Helpfulness votes: 0 out of 0,positive,usability_issue,"helpfulness, votes",low,docx,summary_2.docx_8
"Review Date: 06 15, 2012 (Unix: 1339718400)",negative,no_issue,"06, 1339718400, 15, 2012, date",medium,docx,summary_2.docx_9
"Summary 20
Reviewer: Onir Pernia ""Onir Pernia"" (ID: AZOFNVDHKYKNL)
Product ID: 8199406933

This review highlights that the product was generally described as: Honestly I have always loved this specific model, since you can just take it with you on the road not worrying if you end up losing it or leaving it where ever you go",positive,usability_issue,"20, id, onir, pernia, product",low,docx,summary_20.docx_0
"Though it doesn't exactly meet the fast charging needs of high end phones, it works pretty well on all of them, you just need to be patient",positive,performance_issue,"charging, doesn, end, exactly, fast",low,docx,summary_20.docx_1
"Overall, the user rated the product 5",positive,usability_issue,"overall, product, rated, user",low,docx,summary_20.docx_2
"0 stars, indicating a positive experience",positive,usability_issue,"experience, indicating, positive, stars",low,docx,summary_20.docx_3
"The summary provided by the reviewer was ""Great multipurpose charger!""",positive,no_issue,"charger, great, multipurpose, provided, reviewer",low,docx,summary_20.docx_4
Helpfulness votes: 0 out of 0,positive,usability_issue,"helpfulness, votes",low,docx,summary_20.docx_5
"Review Date: 06 19, 2013 (Unix: 1371600000)",negative,no_issue,"06, 1371600000, 19, 2013, date",medium,docx,summary_20.docx_6
"Summary 3
Reviewer: voidedlime (ID: A2NSS0L3NIU6CN)
Product ID: 7532385086

This review highlights that the product was generally described as: this cover makes an old phone look and feel new",negative,design_issue,"7532385086, id, product, review, reviewer",high,docx,summary_3.docx_0
I like that I can order covers for little money and snazzy up my phone,negative,design_issue,"covers, like, little, money, order",high,docx,summary_3.docx_1
"Overall, the user rated the product 4",positive,usability_issue,"overall, product, rated, user",low,docx,summary_3.docx_2
"0 stars, indicating a positive experience",positive,usability_issue,"experience, indicating, positive, stars",low,docx,summary_3.docx_3
"The summary provided by the reviewer was ""htc evo cover""",negative,design_issue,"cover, evo, htc, provided, reviewer",high,docx,summary_3.docx_4
Helpfulness votes: 0 out of 0,positive,usability_issue,"helpfulness, votes",low,docx,summary_3.docx_5
"Review Date: 09 9, 2012 (Unix: 1347148800)",negative,no_issue,"09, 1347148800, 2012, date, review",medium,docx,summary_3.docx_6
"Summary 4
Reviewer: 0902virgo (ID: A1PMGOX24BWDAZ)
Product ID: 7887421268

This review highlights that the product was generally described as: I loved the case when I first received it but shortly after, the case started to peel off at first i did not know what it was until i looked on the back of the case and it was missing spots",negative,unexpected_behavior,"0902virgo, case, id, product, spots",high,docx,summary_4.docx_0
Guess sometimes a good deal is not really a good deal,negative,no_issue,"deal, good, guess, really",medium,docx,summary_4.docx_1
"Overall, the user rated the product 2",positive,usability_issue,"overall, product, rated, user",low,docx,summary_4.docx_3
"0 stars, indicating a negative experience",negative,design_issue,"experience, indicating, negative, stars",high,docx,summary_4.docx_4
"The summary provided by the reviewer was ""Loved it at first""",positive,usability_issue,"loved, provided, reviewer, summary",low,docx,summary_4.docx_5
Helpfulness votes: 0 out of 0,positive,usability_issue,"helpfulness, votes",low,docx,summary_4.docx_6
"Review Date: 08 6, 2012 (Unix: 1344211200)",negative,no_issue,"08, 1344211200, 2012, date, review",medium,docx,summary_4.docx_7
"Summary 5
Reviewer: California Love (ID: A115GM0PI28KP5)
Product ID: 7887421268

This review highlights that the product was generally described as: The color is more dark in person, and this isnt the best protection case",positive,design_issue,"7887421268, id, product, protection, review",low,docx,summary_5.docx_0
"I get a lot of compliments on the case, and it was easy to put on",positive,design_issue,"case, compliments, easy, lot",low,docx,summary_5.docx_1
"Overall, the user rated the product 4",positive,usability_issue,"overall, product, rated, user",low,docx,summary_5.docx_2
"0 stars, indicating a positive experience",positive,usability_issue,"experience, indicating, positive, stars",low,docx,summary_5.docx_3
"The summary provided by the reviewer was ""Cute""",positive,design_issue,"cute, provided, reviewer, summary",low,docx,summary_5.docx_4
Helpfulness votes: 0 out of 0,positive,usability_issue,"helpfulness, votes",low,docx,summary_5.docx_5
"Review Date: 03 7, 2013 (Unix: 1362614400)",negative,no_issue,"03, 1362614400, 2013, date, review",medium,docx,summary_5.docx_6
"Paul Douglas (ID: A2AOF16F78BQK6)
Product ID: 7887421268

This review highlights that the product was generally described as: Simple to install and a great way to help protect your phone",positive,durability_issue,"id, phone, product, protect, review",low,docx,summary_6.docx_1
My wife really liked the ability to change the look of her phone,positive,design_issue,"ability, change, liked, look, phone",low,docx,summary_6.docx_2
"Overall, the user rated the product 5",positive,usability_issue,"overall, product, rated, user",low,docx,summary_6.docx_3
"0 stars, indicating a positive experience",positive,usability_issue,"experience, indicating, positive, stars",low,docx,summary_6.docx_4
"The summary provided by the reviewer was ""Simple and Attractive Protector""",positive,usability_issue,"attractive, protector, provided, reviewer, simple",low,docx,summary_6.docx_5
Helpfulness votes: 0 out of 0,positive,usability_issue,"helpfulness, votes",low,docx,summary_6.docx_6
"Review Date: 08 13, 2013 (Unix: 1376352000)",negative,no_issue,"08, 13, 1376352000, 2013, date",medium,docx,summary_6.docx_7
"Summary 7
Reviewer: Davonne (ID: A2LFBAQ1CPDWNY)
Product ID: 7887421268

This review highlights that the product was generally described as: The case is pretty good",positive,design_issue,"7887421268, a2lfbaq1cpdwny, case, id, product",low,docx,summary_7.docx_0
It dose have some scratches on one side of the phone but its every little,negative,durability_issue,"dose, little, phone, scratches",high,docx,summary_7.docx_1
Other then that i like it,positive,design_issue,like,low,docx,summary_7.docx_2
